match_id,date,time,home_team_id,away_team_id,fthg,ftag,ftr,hs,as,hst,ast,hc,ac,b365h,b365d,b365a,season_id
0,05/08/2022,20:00,7,1,0,2,A,10,10,2,2,3,5,4.2,3.6,1.85,0
1,06/08/2022,12:30,9,12,2,2,D,9,11,3,4,4,4,11.0,6.0,1.25,0
2,06/08/2022,15:00,3,2,2,0,H,7,15,3,2,5,5,3.75,3.5,2.0,0
3,06/08/2022,15:00,10,20,2,1,H,12,15,4,6,6,4,2.25,3.4,3.2,0
4,06/08/2022,15:00,15,16,2,0,H,23,5,10,0,11,1,1.66,3.8,5.25,0
5,06/08/2022,15:00,18,17,4,1,H,18,10,8,2,10,2,1.33,5.5,8.5,0
6,06/08/2022,17:30,8,6,0,1,A,8,15,4,6,4,16,5.5,4.0,1.61,0
7,07/08/2022,14:00,11,4,2,2,D,14,8,5,3,5,6,2.0,3.75,3.5,0
8,07/08/2022,14:00,10,5,1,2,A,17,15,5,4,6,2,1.6,4.2,5.25,0
9,07/08/2022,16:30,19,13,0,2,A,6,14,1,2,1,4,8.0,5.0,1.36,0
10,13/08/2022,12:30,2,8,2,1,H,12,15,4,4,5,8,1.8,3.5,4.75,0
11,13/08/2022,15:00,1,11,4,2,H,19,6,7,2,6,2,1.53,4.33,5.75,0
12,13/08/2022,15:00,5,15,0,0,D,13,4,7,1,7,3,2.45,3.2,3.0,0
13,13/08/2022,15:00,13,3,4,0,H,19,3,7,1,11,1,1.06,13.0,29.0,0
14,13/08/2022,15:00,17,10,2,2,D,14,13,4,5,2,5,2.25,3.5,3.1,0
15,13/08/2022,15:00,20,9,0,0,D,7,9,1,3,5,3,2.3,3.3,3.2,0
16,13/08/2022,17:30,4,10,4,0,H,13,15,7,4,8,2,3.75,3.5,2.0,0
17,14/08/2022,14:00,16,19,1,0,H,13,19,6,5,6,7,4.2,3.6,1.85,0
18,14/08/2022,16:30,6,18,2,2,D,16,10,3,5,8,5,2.25,3.4,3.2,0
19,15/08/2022,20:00,12,7,1,1,D,24,7,4,3,4,2,1.18,6.75,16.0,0
20,20/08/2022,12:30,18,20,1,0,H,11,20,4,3,8,6,1.4,4.75,7.5,0
21,20/08/2022,15:00,7,2,3,1,H,17,13,9,5,4,2,2.5,3.25,2.9,0
22,20/08/2022,15:00,8,16,1,1,D,19,14,8,5,6,2,1.9,3.6,4.0,0
23,20/08/2022,15:00,9,4,3,2,H,18,13,9,5,6,3,2.45,3.4,2.9,0
24,20/08/2022,15:00,11,17,1,2,A,6,9,1,3,2,5,1.83,4.0,4.0,0
25,20/08/2022,17:30,3,1,0,3,A,6,14,1,6,3,4,8.0,4.75,1.4,0
26,21/08/2022,14:00,10,6,3,0,H,12,14,6,3,4,6,5.75,4.5,1.53,0
27,21/08/2022,14:00,19,5,0,2,A,13,11,3,2,5,4,2.3,3.4,3.1,0
28,21/08/2022,16:30,15,13,3,3,D,12,21,6,10,5,5,7.5,5.0,1.36,0
29,22/08/2022,20:00,10,12,2,1,H,12,17,4,5,6,8,5.25,4.33,1.6,0
30,27/08/2022,12:30,17,10,0,1,A,17,11,5,6,5,3,4.2,4.0,1.8,0
31,27/08/2022,15:00,4,8,1,1,D,19,14,5,7,8,5,2.0,3.5,3.75,0
32,27/08/2022,15:00,5,10,1,0,H,13,10,4,2,5,3,1.9,3.8,3.8,0
33,27/08/2022,15:00,6,11,2,1,H,7,17,3,5,3,11,1.4,5.0,7.0,0
34,27/08/2022,15:00,12,3,9,0,H,19,5,12,2,8,1,1.1,10.0,26.0,0
35,27/08/2022,15:00,13,7,4,2,H,18,2,5,2,6,1,1.18,7.5,13.0,0
36,27/08/2022,17:30,1,9,2,1,H,22,11,8,3,9,2,1.3,5.75,9.0,0
37,28/08/2022,14:00,2,19,0,1,A,9,7,3,2,3,2,2.3,3.4,3.1,0
38,28/08/2022,14:00,20,15,1,1,D,10,21,4,6,4,13,2.7,3.3,2.7,0
