players_used,age,poss,mp,gls,ast,g+a,g-pk,pk,xg,xag,prgc,prgp,team_id,season_id
26,24.7,59.3,38,84,64,148,81,3,71.9,53.8,824,2049,1,0
26,27.0,49.3,38,49,35,84,46,3,50.2,38.8,637,1242,2,0
31,26.3,40.4,38,37,24,61,37,0,38.6,28.5,504,1006,3,0
25,26.2,43.8,38,56,36,92,49,7,56.8,38.7,392,1131,4,0
29,26.3,60.2,38,68,46,114,62,6,73.3,52.2,809,1849,5,0
32,26.3,58.7,38,37,27,64,34,3,49.5,38.6,829,1737,6,0
26,26.7,46.3,38,38,29,67,37,1,39.3,29.0,556,1243,7,0
28,26.6,42.8,38,32,24,56,29,3,45.2,32.4,500,1052,8,0
29,28.2,48.8,38,52,33,85,47,5,46.2,28.5,662,1326,9,0
29,25.3,47.0,38,45,31,76,44,1,47.4,31.9,555,1429,10,0
28,26.1,47.7,38,49,36,85,46,3,50.6,38.5,580,1304,11,0
28,27.4,60.8,38,71,58,129,69,2,72.6,56.7,719,1992,12,0
24,27.2,64.7,38,92,69,161,83,9,78.7,57.6,987,2073,13,0
26,26.9,53.7,38,56,42,98,53,3,67.7,52.2,711,1595,14,0
27,27.3,52.3,38,64,42,106,58,6,72.0,51.9,694,1618,15,0
33,26.5,37.6,38,36,22,58,33,3,39.3,26.3,435,859,16,0
36,24.7,44.5,38,36,25,61,34,2,37.7,28.2,588,1125,17,0
29,27.6,50.0,38,68,46,114,63,5,57.1,43.1,692,1449,18,0
25,28.2,42.1,38,41,25,66,35,6,49.2,32.7,614,1274,19,0
32,26.7,49.9,38,28,12,40,25,3,36.8,25.4,610,1343,20,0
27,24.4,52.8,38,60,41,101,55,5,60.5,40.2,734,1655,1,1
31,26.1,46.5,38,50,42,92,47,3,44.0,34.8,653,1300,2,1
29,25.4,44.8,38,46,33,79,40,6,45.8,33.0,450,1189,4,1
26,26.2,54.4,38,40,30,70,36,4,46.2,32.3,676,1547,5,1
23,28.5,40.2,38,32,26,58,31,1,39.7,31.2,388,972,21,1
26,27.4,61.8,38,75,52,127,67,8,63.4,44.9,894,1967,6,1
24,27.1,51.1,38,50,31,81,44,6,46.4,31.0,592,1229,7,1
33,26.7,40.0,38,42,29,71,36,6,41.2,28.5,512,1100,8,1
29,26.1,52.3,38,42,26,68,37,5,44.4,31.3,671,1483,10,1
28,26.5,52.0,38,62,46,108,60,2,47.8,34.2,622,1356,11,1
27,27.7,62.7,38,94,71,165,87,7,88.7,63.5,885,2243,12,1
26,27.0,67.9,38,96,63,159,89,7,88.7,65.5,1145,2421,13,1
29,27.2,52.7,38,56,46,102,53,3,55.8,42.5,784,1568,14,1
29,27.5,40.4,38,41,23,64,38,3,38.1,25.8,544,923,15,1
28,26.2,42.9,38,21,16,37,18,3,32.3,24.3,566,1031,22,1
25,25.7,47.7,38,41,26,67,37,4,44.8,32.5,728,1326,17,1
25,26.5,51.8,38,63,50,113,58,5,61.2,47.0,791,1459,18,1
30,28.4,40.7,38,33,26,59,32,1,40.0,32.5,557,1070,23,1
25,28.2,47.9,38,58,46,104,54,4,51.4,37.4,646,1449,19,1
26,27.3,49.5,38,35,22,57,34,1,37.5,26.4,723,1283,20,1
29,25.9,53.5,38,53,38,91,47,6,51.8,35.1,758,1760,1,2
24,25.2,48.5,38,52,38,90,47,5,52.5,37.4,629,1420,2,2
27,25.8,51.1,38,39,24,63,33,6,50.9,33.2,685,1516,5,2
25,28.3,42.1,38,32,20,52,29,3,39.3,27.7,389,1012,21,2
27,26.0,60.9,38,56,38,94,48,8,62.4,41.5,895,1798,6,2
24,29.1,40.6,38,39,29,68,36,3,34.1,23.6,526,1132,7,2
29,26.3,46.4,38,45,32,77,41,4,45.7,30.7,604,1184,8,2
28,25.2,49.7,38,26,18,44,23,3,40.5,26.3,727,1354,9,2
23,26.1,57.3,38,60,45,105,56,4,55.6,41.9,811,1633,10,2
27,26.5,54.3,38,64,45,109,54,10,55.8,33.7,666,1464,11,2
28,26.8,62.1,38,65,43,108,59,6,67.5,48.3,886,2057,12,2
24,26.1,63.5,38,82,55,137,77,5,68.2,45.4,1096,2051,13,2
29,25.6,55.7,38,70,51,121,60,10,60.1,41.6,877,1832,14,2
27,27.1,38.8,38,44,26,70,38,6,43.4,29.0,467,903,15,2
27,26.7,41.7,38,19,13,32,16,3,32.6,24.9,491,1196,24,2
29,26.6,52.0,38,47,33,80,42,5,41.2,25.8,626,1195,17,2
24,27.2,51.6,38,66,50,116,61,5,53.1,35.3,633,1330,18,2
30,26.4,37.9,38,33,20,53,29,4,35.8,24.4,441,1027,25,2
24,27.8,43.2,38,60,46,106,58,2,55.4,39.6,658,1282,19,2
27,26.3,49.3,38,34,21,55,30,4,36.5,24.1,800,1283,20,2
