player_id,player_name,player_position,team_id,expected_assists,goals_scored,expected_goals_conceded,threat,influence,creativity,expected_goals,saves,goals_conceded,assists,ict_index,expected_goal_involvements,starts,minutes,total_points,clean_sheets
0,Granit Xhaka,MID,1,3.89,7,36.52,498.0,647.0,673.3,4.65,0,35,8,182.0,8.54,36,2992,153,13
1,Mohamed Elneny,MID,1,0.04,0,1.29,0.0,4.6,5.4,0.0,0,2,0,1.1,0.04,1,111,6,0
2,Rob Holding,DEF,1,0.15,1,11.14,54.0,152.0,10.3,0.32,0,13,0,21.6,0.47,6,562,21,0
3,Thomas Partey,MID,1,2.17,3,32.27,240.0,513.2,439.6,2.59,0,28,0,119.5,4.76,28,2480,86,11
4,Martin Ødegaard,MID,1,8.02,15,37.94,920.0,960.0,1100.4,9.75,0,38,8,298.3,17.77,37,3132,212,13
5,Kieran Tierney,DEF,1,0.43,0,10.9,67.0,144.0,85.5,0.38,0,10,1,29.9,0.81,6,774,37,1
6,Nicolas Pépé,MID,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
7,Benjamin White,DEF,1,3.6,2,37.23,159.0,649.0,491.2,1.25,0,35,5,130.0,4.85,36,3054,156,15
8,Eddie Nketiah,FWD,1,1.26,4,14.65,598.0,213.4,128.2,7.89,0,16,2,93.1,9.15,9,1071,63,2
9,Emile Smith Rowe,MID,1,0.55,0,2.71,39.0,36.6,64.3,0.25,0,5,2,13.8,0.8,0,161,18,0
10,Bukayo Saka,MID,1,5.97,14,39.66,1164.0,972.2,1091.8,11.49,0,42,12,322.8,17.46,37,3183,202,12
11,Takehiro Tomiyasu,DEF,1,0.23,0,8.93,55.0,137.0,86.6,0.24,0,11,1,27.7,0.47,6,651,32,2
12,Aaron Ramsdale,GKP,1,0.02,0,42.31,0.0,761.4,0.0,0.0,94,43,0,76.2,0.02,38,3420,143,14
13,Gabriel dos Santos Magalhães,DEF,1,0.66,3,41.84,401.0,733.8,129.7,5.04,0,43,0,126.5,5.7,38,3409,146,14
14,Nuno Varela Tavares,DEF,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
15,Gabriel Martinelli Silva,MID,1,6.98,15,36.16,1300.0,844.2,838.1,9.15,0,33,9,298.1,16.13,34,2789,198,14
16,Pablo Marí Villar,DEF,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
17,Lucas Torreira di Pascua,MID,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
18,Reiss Nelson,MID,1,0.99,3,2.16,155.0,169.8,99.2,1.09,0,3,3,42.4,2.08,0,202,42,1
19,Matt Turner,GKP,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
20,Fábio Ferreira Vieira,MID,1,1.39,1,5.28,123.0,115.2,180.1,0.86,0,5,2,41.4,2.25,3,500,40,2
21,William Saliba,DEF,1,0.32,2,26.86,114.0,529.0,100.8,0.91,0,25,1,74.5,1.23,27,2415,117,12
22,Marcus Oliveira Alencar,MID,1,0.0,0,0.0,0.0,0.0,0.2,0.0,0,0,0,0.0,0.0,0,1,1,0
23,Gabriel Fernando de Jesus,FWD,1,2.91,11,23.15,1282.0,594.2,407.3,14.24,0,23,7,228.3,17.15,24,2064,125,9
24,Leandro Trossard,MID,1,6.02,8,30.79,859.0,620.0,687.1,6.37,0,38,13,216.6,12.39,26,2237,154,8
25,Jorge Luiz Frello Filho,MID,1,0.96,2,24.41,97.0,386.4,254.1,1.89,0,23,2,73.9,2.85,24,2127,79,9
26,Oleksandr Zinchenko,DEF,1,2.39,1,26.67,190.0,405.0,387.7,1.32,0,28,2,98.3,3.71,26,2122,99,10
27,Matthew Smith,MID,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
28,Ethan Nwaneri,MID,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,1,1,0
29,Lino Sousa,DEF,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
30,Karl Hein,GKP,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
31,Amario Cozier-Duberry,MID,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
32,Nathan Butler-Oyedeji,FWD,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
33,Jakub Kiwior,DEF,1,0.01,1,6.46,4.0,53.6,4.1,0.1,0,6,0,6.3,0.11,5,425,26,2
34,Reuell Walters,DEF,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
35,Mauro Bandeira,MID,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
36,Philippe Coutinho Correia,MID,2,0.65,1,8.11,218.0,119.2,152.5,1.37,0,9,0,48.8,2.02,7,777,32,3
37,Emiliano Martínez Romero,GKP,2,0.21,0,43.46,0.0,813.0,23.0,0.0,98,38,0,83.5,0.21,36,3139,135,11
38,Calum Chambers,DEF,2,0.19,0,5.88,8.0,74.4,29.8,0.14,0,4,0,11.1,0.33,2,345,13,0
39,Lucas Digne,DEF,2,1.9,1,25.91,92.0,271.4,293.3,0.43,0,25,0,65.8,2.33,18,1492,50,3
40,Bertrand Traoré,MID,2,0.12,2,1.65,79.0,82.0,30.7,0.75,0,1,0,19.0,0.87,1,226,20,1
41,Robin Olsen,GKP,2,0.0,0,8.56,0.0,83.2,0.0,0.0,11,8,0,8.2,0.0,2,280,10,1
42,Morgan Sanson,MID,2,0.0,0,0.4,0.0,4.2,0.5,0.0,0,1,0,0.4,0.0,0,10,2,0
43,John McGinn,MID,2,3.33,1,37.73,326.0,375.0,349.2,2.4,0,31,5,105.1,5.73,30,2692,90,10
44,Kortney Hause,DEF,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
45,Tyrone Mings,DEF,2,0.95,1,47.28,121.0,657.2,87.7,0.96,0,40,3,87.0,1.91,35,3150,130,12
46,Ollie Watkins,FWD,2,2.66,15,46.65,1268.0,792.0,408.5,16.15,0,40,8,247.0,18.81,36,3129,175,13
47,Marvelous Nakamba,MID,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
48,Emiliano Buendía Stati,MID,2,3.95,5,36.65,580.0,438.2,546.3,6.32,0,34,3,156.6,10.27,27,2404,117,11
49,Matty Cash,DEF,2,0.95,0,27.14,67.0,298.4,178.0,0.2,0,29,2,54.4,1.15,20,1817,57,4
50,Ezri Konsa Ngoyo,DEF,2,0.71,0,50.67,72.0,560.4,116.1,1.08,0,45,0,74.9,1.79,37,3322,110,12
51,Leon Bailey,MID,2,4.77,4,35.15,532.0,334.2,439.1,5.34,0,32,5,130.1,10.11,26,1964,100,8
52,Douglas Luiz Soares de Paulo,MID,2,2.92,6,42.8,242.0,661.6,655.4,2.79,0,35,7,155.8,5.71,33,2922,142,13
53,Jacob Ramsey,MID,2,2.89,6,40.5,424.0,607.2,496.7,5.07,0,33,8,152.8,7.96,31,2634,135,11
54,Tim Iroegbunam,MID,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
55,Diego Carlos Santos Silva,DEF,2,0.11,0,1.92,32.0,24.8,13.2,0.36,0,3,0,7.0,0.47,2,205,4,0
56,Anwar El Ghazi,MID,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
57,Keinan Davis,FWD,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
58,Boubacar Kamara,MID,2,0.92,0,33.05,39.0,275.8,123.4,0.15,0,30,1,43.9,1.07,21,1773,44,3
59,Cameron Archer,FWD,2,0.01,0,0.37,6.0,1.8,2.4,0.0,0,1,0,0.9,0.01,0,43,6,0
60,Jaden Philogene-Bidace,MID,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
61,Frédéric Guilbert,DEF,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
62,Leander Dendoncker,MID,2,0.14,0,14.68,64.0,143.4,96.1,0.72,0,14,0,30.6,0.86,9,897,37,4
63,Ludwig Augustinsson,DEF,2,0.01,0,0.74,35.0,5.6,1.9,0.08,0,0,0,4.2,0.09,1,76,2,0
64,Kaine Kesler Hayden,DEF,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
65,Ashley Young,DEF,2,0.78,1,31.81,81.0,380.2,223.4,0.46,0,28,0,68.7,1.24,23,2031,87,9
66,Lamare Bogarde,DEF,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
67,Filip Marschall,GKP,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
68,Kadan Young,MID,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0
69,Alexandre Moreno Lopera,DEF,2,2.57,0,17.83,151.0,254.4,321.1,0.59,0,10,3,72.3,3.16,14,1325,72,7
